,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Constant_Short_1a0,22/11/2021,Short,Constant,A,1,400,400,40,40,400,400,40,0
Constant_Short_1b0,22/11/2021,Short,Constant,B,1,400,400,40,40,400,400,40,0
Constant_Short_2a0,22/11/2021,Short,Constant,A,2,400,400,40,40,400,400,40,0
Constant_Short_2b0,22/11/2021,Short,Constant,B,2,400,400,40,40,400,400,40,0
Constant_Short_3a0,22/11/2021,Short,Constant,A,3,400,400,40,40,400,400,40,0
Constant_Short_3b0,22/11/2021,Short,Constant,B,3,400,400,40,40,400,400,40,0
Constant_Short_4a0,22/11/2021,Short,Constant,A,4,400,400,40,40,400,400,40,0
Constant_Short_4b0,22/11/2021,Short,Constant,B,4,400,400,40,40,400,400,40,0
Constant_Short_5a0,22/11/2021,Short,Constant,A,5,400,400,40,40,400,400,40,0
Constant_Short_5b0,22/11/2021,Short,Constant,B,5,400,400,40,40,400,400,40,0
Constant_Long_1a00,22/11/2021,Long,Constant,A,1,400,400,40,40,400,400,40,0
Constant_Long_1b0,22/11/2021,Long,Constant,B,1,400,400,40,40,400,400,40,0
Constant_Long_2a0,22/11/2021,Long,Constant,A,2,400,400,40,40,400,400,40,0
Constant_Long_2b0,22/11/2021,Long,Constant,B,2,400,400,40,40,400,400,40,0
Constant_Long_3a0,22/11/2021,Long,Constant,A,3,400,400,40,40,400,400,40,0
Constant_Long_3b0,22/11/2021,Long,Constant,B,3,400,400,40,40,400,400,40,0
Constant_Long_4a0,22/11/2021,Long,Constant,A,4,400,400,40,40,400,400,40,0
Constant_Long_4b0,22/11/2021,Long,Constant,B,4,400,400,40,40,400,400,40,0
Constant_Long_5a0,22/11/2021,Long,Constant,A,5,400,400,40,40,400,400,40,0
Constant_Long_5b0,22/11/2021,Long,Constant,B,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_1a00,22/11/2021,Short,Fluctuating_Asynchro,A,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_1b0,22/11/2021,Short,Fluctuating_Asynchro,B,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_2a0,22/11/2021,Short,Fluctuating_Asynchro,A,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_2b0,22/11/2021,Short,Fluctuating_Asynchro,B,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_3a0,22/11/2021,Short,Fluctuating_Asynchro,A,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_3b0,22/11/2021,Short,Fluctuating_Asynchro,B,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_4a0,22/11/2021,Short,Fluctuating_Asynchro,A,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_4b0,22/11/2021,Short,Fluctuating_Asynchro,B,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_5a0,22/11/2021,Short,Fluctuating_Asynchro,A,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_5b0,22/11/2021,Short,Fluctuating_Asynchro,B,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_1a0,22/11/2021,Long,Fluctuating_Asynchro,A,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_1b0,22/11/2021,Long,Fluctuating_Asynchro,B,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_2a0,22/11/2021,Long,Fluctuating_Asynchro,A,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_2b0,22/11/2021,Long,Fluctuating_Asynchro,B,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_3a0,22/11/2021,Long,Fluctuating_Asynchro,A,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_3b0,22/11/2021,Long,Fluctuating_Asynchro,B,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_4a0,22/11/2021,Long,Fluctuating_Asynchro,A,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_4b0,22/11/2021,Long,Fluctuating_Asynchro,B,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_5a0,22/11/2021,Long,Fluctuating_Asynchro,A,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_5b0,22/11/2021,Long,Fluctuating_Asynchro,B,5,400,400,40,40,400,400,40,0
Static_Diff_Short_1a0,22/11/2021,Short,Static_Diff,A,1,400,400,40,40,400,400,40,0
Static_Diff_Short_1b0,22/11/2021,Short,Static_Diff,B,1,400,400,40,40,400,400,40,0
Static_Diff_Short_2a0,22/11/2021,Short,Static_Diff,A,2,400,400,40,40,400,400,40,0
